link,snippet,labels
http://media.mnn.com/assets/images/2012/11/pw_1.jpg,Lolcats: Where they came from and why we love them | MNN - Mother ...,ur passwerd is FAIL entry are denied
https://upload.wikimedia.org/wikipedia/commons/a/ab/Lolcat_in_folder.jpg,Lolcat - Wikipedia,IM IN UR FOLDUR KERUPTIN YR FYLEZ
http://media.mnn.com/assets/images/2012/11/kitten_1.jpg,Lolcats: Where they came from and why we love them | MNN - Mother ...,food limit reached start sleep cycle
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Cat_crying_%28Lolcat%29.jpg/300px-Cat_crying_%28Lolcat%29.jpg,Lolcat - Wikipedia,I ARE CRYING CUZ I ARE OUT OF FOCUSS
https://bighugelabs.com/img/lolcat-sample.jpg,Lolcat Generator: Can haz posters?,Im in ur computer makin ur graphix
https://upload.wikimedia.org/wikipedia/commons/1/1a/Cat_crying_%28Lolcat%29.jpg,Lolcat - Wikipedia,I ARE CRYING CUZ I ARE OUT OF FOCUSS
http://pad2.whstatic.com/images/thumb/e/e4/Make-a-Lolcat-Step-1.jpg/aid525207-v4-728px-Make-a-Lolcat-Step-1.jpg,How to Make a Lolcat: 5 Steps (with Pictures) - wikiHow,
http://i.huffpost.com/gen/985599/images/o-TWITTER-LOLCAT-facebook.jpg,Twitter Introduces 'Lolcat' As A New Language Setting | HuffPost,I hazäo happee.
http://obeythekitty.com/wp-content/uploads/2015/01/funny_lolcat_history.jpg,A Brief History of Lolcats & Warning from Chairman Meow - Obey The ...,Mittens the Destroyer Wears the head of his enemy
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Lolcat.jpg/220px-Lolcat.jpg,lolcat - Wiktionary,I'm in ur bed zleeping
