Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,797395219,Stewburtx8 (3/9),0,76.24001,RB Joe Mixon WR Josh Malone FLEX Seantavius Jones TE Evan Engram DST Steelers  QB C.J. Beathard RB Matt Breida WR Aldrick Robinson WR Mike Evans,,Joshua Dobbs,46.59%,7.6
2,797523118,bmarksespn (8/20),0,75.48,QB Jeff Driskel RB Joe Mixon FLEX Alex Erickson WR Tyler Boyd TE Gavin Escobar RB Terrell Watson WR Cobi Hamilton WR JuJu Smith-Schuster DST Steelers ,,Joe Mixon,45.76%,5.2
3,797438736,sonic999 (10/16),0,75.23999,RB Joe Mixon RB Kareem Hunt FLEX Terrell Watson DST Steelers  QB C.J. Beathard WR Trent Taylor WR Kendrick Bourne WR Josh Huff TE O.J. Howard,,Chiefs ,45.69%,7
4,797385921,jphill223 (2/7),0,71.28,QB Jeff Driskel RB Joe Mixon WR Alex Erickson WR Tyler Boyd RB Kareem Hunt FLEX Chris Conley TE Gavin Escobar WR Cobi Hamilton DST Steelers ,,Kareem Hunt,41.52%,1.9
5,797497977,xBenJamminx (2/5),0,70.88,QB Jeff Driskel WR Darius Powe TE Evan Engram RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  FLEX Aldrick Robinson RB Jeremy McNichols WR Mike Evans,,JuJu Smith-Schuster,41.39%,2.3
6,797326068,Mkoski75,0,70.78,QB Jeff Driskel RB Joe Mixon WR Alex Erickson WR Tyler Boyd FLEX Orleans Darkwa TE Rhett Ellison WR Cobi Hamilton DST Steelers  RB Jeremy McNichols,,Chris Godwin,31.44%,2.4
7,797509245,canowhoopass (6/8),0,70.64,WR Josh Malone RB Kareem Hunt TE Evan Engram FLEX Terrell Watson WR Canaan Severin DST Steelers  QB C.J. Beathard RB Matt Breida WR Trent Taylor,,O.J. Howard,25.92%,0
8,797553227,ISTACKDEADPEOPLE (7/11),0,70.4,FLEX Joe Mixon WR Seantavius Jones QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton DST Steelers  RB Matt Breida WR Trent Taylor TE O.J. Howard,,Evan Engram,25.50%,2.1
9,797392719,mferaco (11/15),0,70.3,FLEX Tra Carson WR Demarcus Robinson RB Wayne Gallman QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton TE Jesse James DST Steelers  WR Aldrick Robinson,,Terrell Watson,23.23%,10.4
10,797416388,PatJamesFC (2/15),0,68.92001,WR Alex Erickson TE Evan Engram RB Terrell Watson DST Steelers  QB Matt Barkley RB Matt Breida FLEX Aldrick Robinson WR Trent Taylor WR Chris Godwin,,Trent Taylor,19.36%,6.3
11,797226694,wormfuzzy42 (9/20),0,68.2,WR Alex Erickson DST Bengals  RB Kareem Hunt TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton WR Canaan Severin FLEX Aldrick Robinson,,Alex Erickson,19.31%,8.3
12,797493275,Golden_Goose (2/8),0,67.74,RB Joe Mixon WR Cobi Hamilton QB C.J. Beathard RB Matt Breida WR Aldrick Robinson WR Trent Taylor TE Cole Hikutini DST 49ers  FLEX Chris Godwin,,Roger Lewis,18.47%,2.5
13,797501177,essesandgees (18/20),0,67.64,FLEX Kareem Hunt RB Terrell Watson DST Steelers  QB C.J. Beathard RB Matt Breida WR Aldrick Robinson WR Trent Taylor TE Cole Hikutini WR Chris Godwin,,Giants ,18.25%,8
14,797555082,ctmalone (16/20),0,67.42,RB Joe Mixon FLEX Alex Erickson WR Josh Malone TE Tyler Kroft RB Terrell Watson WR JuJu Smith-Schuster DST Steelers  QB Matt Barkley WR Aldrick Robinson,,Tyler Boyd,18.22%,1.8
15,797399056,goose219 (12/20),0,67.4,RB Joe Mixon WR Tyreek Hill QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton DST Steelers  FLEX Matt Breida TE Cole Hikutini WR Chris Godwin,,Wayne Gallman,17.85%,2.5
16,797270963,gingersauce4u (9/20),0,67.38,QB Jeff Driskel WR Alex Erickson WR Cody Core RB Wayne Gallman TE Evan Engram RB Matt Breida WR Aldrick Robinson DST 49ers  FLEX Mike Evans,,AJ McCarron,17.67%,1.86
17,797447042,simonb1991 (16/20),0,67.22,WR Alex Erickson WR Seantavius Jones WR Travis Rudolph TE Evan Engram RB Terrell Watson DST Steelers  QB Matt Barkley RB Matt Breida FLEX Aldrick Robinson,,Matt Breida,17.22%,7.4
18,797228311,wormfuzzy42 (16/20),0,67.10001,WR Cody Core TE Evan Engram QB Joshua Dobbs RB Terrell Watson WR Cobi Hamilton WR Canaan Severin RB Matt Breida FLEX Aldrick Robinson DST 49ers ,,Travis Rudolph,14.98%,3.7
19,797226683,tranche (12/20),0,66.84,RB Joe Mixon FLEX Josh Malone WR Seantavius Jones DST Chiefs  TE Evan Engram QB C.J. Beathard RB Joe Williams WR Aldrick Robinson WR Mike Evans,,C.J. Spiller,14.93%,2.1
20,797545477,danmcgrath21 (5/11),0,66.74001,RB Joe Mixon WR Cody Core TE Tyler Kroft DST Steelers  QB C.J. Beathard RB Matt Breida WR Aldrick Robinson WR Mike Evans FLEX Chris Godwin,,Tyler Kroft,14.45%,0
21,797570744,gvowell (2/2),0,66.66,RB Joe Mixon QB Patrick Mahomes II WR Gehrig Dieter WR Travis Rudolph TE Jake McGee DST Steelers  FLEX Joe Williams RB Matt Breida WR Kendrick Bourne,,Aldrick Robinson,14.43%,10.3
22,797346124,PapaFranchise,0,66.44,RB Joe Mixon DST Giants  QB C.J. Beathard RB Matt Breida FLEX Marquise Goodwin WR Trent Taylor WR Kendrick Bourne TE Cole Hikutini WR Chris Godwin,,Steelers ,12.18%,15
23,797511322,Golden_Goose (5/8),0,66.34,RB Joe Mixon WR Cobi Hamilton QB C.J. Beathard RB Joe Williams WR Aldrick Robinson WR Trent Taylor TE Cole Hikutini DST 49ers  FLEX Chris Godwin,,Orleans Darkwa,11.93%,1.8
24,797214418,bengramza (2/5),0,66.2,RB Joe Mixon TE Tyler Kroft RB Orleans Darkwa WR Travis Rudolph QB Joshua Dobbs WR Cobi Hamilton DST Steelers  FLEX Matt Breida WR Aldrick Robinson,,Mike Evans,11.45%,9.8
