position,name,club_team,group,international_team
Goalkeeper,Saad Al-Sheeb,Al Sadd,A,Qatar
Goalkeeper,Yousof Hassan,Al Gharafa,A,Qatar
Goalkeeper,Meshaal Barsham,Al Sadd,A,Qatar
Defender,Pedro Miguel,Al Sadd,A,Qatar
Defender,Abdelkarim Hassan,Al Sadd,A,Qatar
Defender,Tarek Salman,Al Sadd,A,Qatar
Defender,Musaab Khidir,Al Sadd,A,Qatar
Defender,Homam Ahmed,Al Gharafa,A,Qatar
Defender,Bassam Al-Rawi,Al Duhail,A,Qatar
Defender,Boualem Khoukhi,Al Sadd,A,Qatar
Defender,Salem Al-Hajri,Al Sadd,A,Qatar
Defender,Jassem Gaber,Qatar,A,Qatar
Midfielder,Mohammed Waad,Al Sadd,A,Qatar
Midfielder,Abdulaziz Hatem,Al Rayyan,A,Qatar
Midfielder,Ali Asad,Al Sadd,A,Qatar
Midfielder,Karim Boudiaf,Al Duhail,A,Qatar
Midfielder,Ismail Mohamad,Al Duhail,A,Qatar
Midfielder,Assim Madibo,Al Duhail,A,Qatar
Midfielder,Naif Al-Hadhrami,Al Rayyan,A,Qatar
Midfielder,Moustafa Tarek,Al Sadd,A,Qatar
Forward,Ahmed Alaaeldin,Al Gharafa,A,Qatar
Forward,Mohammed Muntari,Al Duhail,A,Qatar
Forward,Hassan Al-Haydos,Al Sadd,A,Qatar
Forward,Akram Afif,Al Sadd,A,Qatar
Forward,Khalid Muneer,Al Duhail,A,Qatar
Forward,Almoez Ali,Al Duhail,A,Qatar
Goalkeeper,Hernan Galindez,Aucas,A,Ecuador
Goalkeeper,Moises Ramírez,Independiente del Valle,A,Ecuador
Goalkeeper,Alexander Domínguez,Liga de Quito,A,Ecuador
Defender,Félix Torres,Santos,A,Ecuador
Defender,Piero Hincapié,Bayer Leverkusen,A,Ecuador
Defender,Robert Arboleda,São Paulo,A,Ecuador
Defender,William Pacho,Antwerp,A,Ecuador
Defender,Pervis Estupiñán,Brighton & Hove Albion,A,Ecuador
Defender,Xavier Arreaga,Seattle Sounders FC,A,Ecuador
Defender,Angelo Preciado,Racing Genk,A,Ecuador
Defender,Diego Palacios,LAFC,A,Ecuador
Defender,Jackson Porozo,Troyes,A,Ecuador
Midfielder,José Cifuentes,LAFC,A,Ecuador
Midfielder,Carlos Gruezo,FC Augsburg,A,Ecuador
