player_id,name,position,bench_reps,broad_jump,cone,shuttle,forty_yd,vertical,draft_pick,draft_round,weight,height,dk_score,10_yd,position_label
AbduAm00,Ameer Abdullah,RB,24.0,130.0,6.79,3.95,4.6,42.5,54.0,2.0,205,69.0,120.99999999999999,UNK,2
AdamDa00,Darvin Adams,WR,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,190,74.0,0.0,UNK,5
AdamDa01,Davante Adams,WR,14.0,123.0,6.82,4.3,4.56,39.5,53.0,2.0,212,73.0,103.60000000000001,UNK,5
AdamJe01,Jerell Adams,TE,0.0,117.0,7.05,4.31,4.64,32.5,184.0,6.0,247,77.0,34.2,UNK,3
AdamJo01,Joe Adams,WR,0.0,123.0,7.09,0.0,4.51,36.0,104.0,4.0,179,71.0,3.0,UNK,5
AddaJo00,Joseph Addai,RB,18.0,125.0,7.09,4.47,4.4,38.5,30.0,1.0,214,71.0,234.60000000000002,UNK,2
AddiBr01,Bralon Addison,RB,13.0,116.0,6.95,4.14,4.66,34.5,0.0,0.0,197,69.0,2.5,UNK,2
AghoNe00,Nelson Agholor,WR,12.0,0.0,0.0,0.0,4.42,0.0,20.0,1.0,198,72.0,57.3,UNK,5
AikeSa00,Sam Aiken,WR,0.0,121.0,7.22,0.0,4.59,39.5,127.0,4.0,209,74.0,6.5,UNK,5
AjayJa00,Jay Ajayi,RB,19.0,121.0,7.1,4.1,4.57,39.0,149.0,5.0,221,72.0,40.7,UNK,2
AjirSe00,Seyi Ajirotutu,WR,14.0,115.0,7.22,4.39,4.6,36.0,0.0,0.0,204,75.0,54.2,UNK,5
AlexDa00,Danario Alexander,WR,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,215,77.0,56.599999999999994,UNK,5
AlexSh00,Shaun Alexander,RB,0.0,0.0,0.0,0.0,4.58,0.0,19.0,1.0,218,72.0,52.400000000000006,UNK,2
AlfoMa00,Mario Alford,WR,13.0,121.0,6.64,4.07,4.43,34.0,238.0,7.0,180,68.0,2.5,UNK,5
AlleAn01,Anthony Allen,RB,24.0,120.0,6.79,4.06,4.56,41.5,225.0,7.0,228,73.0,0.8,UNK,2
AlleAr00,Armando Allen,RB,23.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,199,68.0,4.8,UNK,2
AlleDw00,Dwayne Allen,TE,27.0,110.0,7.12,4.37,4.85,32.0,64.0,3.0,255,75.0,115.6,UNK,3
AlleJa00,James Allen,RB,24.0,126.0,7.59,4.21,4.62,38.0,82.0,3.0,240,75.0,133.3,UNK,2
AlleJa01,Javorius Allen,RB,11.0,121.0,6.96,4.28,4.53,35.5,125.0,4.0,221,72.0,152.7,UNK,2
AlleKe00,Keenan Allen,WR,0.0,0.0,0.0,0.0,4.58,0.0,76.0,3.0,206,74.0,238.60000000000002,UNK,5
AlliAu00,Aundrae Allison,WR,0.0,127.0,0.0,0.0,4.39,37.0,146.0,5.0,198,72.0,26.5,UNK,5
AlliGe01,Geronimo Allison,WR,0.0,127.0,7.4,4.28,4.67,33.0,0.0,0.0,196,75.0,44.2,UNK,5
AmarJa00,Jace Amaro,TE,28.0,118.0,7.42,4.3,4.74,33.0,49.0,2.0,265,77.0,84.5,UNK,3
AndeCo00,Courtney Anderson,TE,17.0,106.0,7.86,4.45,4.89,30.0,245.0,7.0,269,78.0,36.5,UNK,3
AndeDa00,Damien Anderson,RB,27.0,112.0,6.93,4.02,4.56,33.5,0.0,0.0,211,70.0,13.100000000000001,UNK,2
AndeDa01,David Anderson,WR,0.0,116.0,6.88,4.2,4.57,34.0,251.0,7.0,192,70.0,3.7,UNK,5
AndeSc00,Scotty Anderson,WR,0.0,115.0,0.0,0.0,4.57,34.5,148.0,5.0,184,74.0,39.099999999999994,UNK,5
AndeSt01,Stephen Anderson,TE,16.0,119.0,0.0,0.0,4.59,38.0,0.0,0.0,230,74.0,26.299999999999997,UNK,3
AndrAn00,Antonio Andrews,RB,20.0,106.0,7.24,4.49,4.82,29.5,0.0,0.0,225,70.0,3.1,UNK,2
AnelMa20,Mark Anelli,TE,18.0,0.0,0.0,0.0,4.8,0.0,201.0,6.0,262,76.0,0.0,UNK,3
ArchDr00,Dri Archer,WR,20.0,122.0,6.86,4.06,4.26,38.0,97.0,3.0,173,68.0,13.3,UNK,5
ArtiCa00,Cameron Artis-Payne,RB,0.0,118.0,7.13,0.0,4.53,36.5,174.0,5.0,212,70.0,35.1,UNK,2
AtkiGe01,George Atkinson,RB,19.0,121.0,7.07,4.46,4.48,38.0,0.0,0.0,218,73.0,0.0,UNK,2
AustMi00,Miles Austin,WR,21.0,123.0,7.09,4.14,4.47,40.5,0.0,0.0,215,74.0,0.0,UNK,5
AustTa00,Tavon Austin,WR,14.0,120.0,0.0,4.01,4.34,32.0,8.0,1.0,174,68.0,135.9,UNK,5
AvanJa00,Jason Avant,WR,20.0,118.0,0.0,0.0,4.62,37.0,109.0,4.0,212,72.0,19.8,UNK,5
AverDo00,Donnie Avery,WR,16.0,0.0,0.0,0.0,4.43,0.0,33.0,2.0,192,71.0,154.29999999999998,UNK,5
AyerDe00,Demarcus Ayers,WR,0.0,123.0,0.0,0.0,4.72,33.0,229.0,7.0,182,69.0,16.099999999999998,UNK,5
BailSt01,Stedman Bailey,WR,11.0,117.0,6.81,4.09,4.52,34.5,92.0,3.0,193,70.0,48.900000000000006,UNK,5
BajeBi00,Billy Bajema,TE,16.0,113.0,7.05,4.25,4.74,31.5,249.0,7.0,261,77.0,10.4,UNK,3
BakeCh00,Chris Baker,TE,18.0,112.0,6.95,0.0,4.81,35.0,88.0,3.0,258,75.0,43.599999999999994,UNK,3
BallMo00,Montee Ball,RB,15.0,118.0,6.88,4.4,4.66,32.0,58.0,2.0,214,70.0,117.40000000000002,UNK,2
BallVi00,Vick Ballard,RB,23.0,115.0,7.03,4.19,4.59,33.0,170.0,5.0,219,70.0,134.60000000000002,UNK,2
BankBr00,Brandon Banks,WR,0.0,113.0,6.88,4.29,4.37,31.0,0.0,0.0,149,67.0,9.6,UNK,5
BankMi20,Mike Banks,TE,0.0,104.0,0.0,0.0,4.84,31.5,223.0,7.0,260,76.0,0.0,UNK,3
BannAl00,Alex Bannister,WR,0.0,110.0,0.0,0.0,4.47,30.5,140.0,5.0,201,77.0,9.0,UNK,5
BarbMa01,Marion Barber,RB,20.0,127.0,0.0,0.0,4.49,40.0,109.0,4.0,221,71.0,116.3,UNK,2
BarbPe01,Peyton Barber,RB,20.0,111.0,7.0,4.21,4.64,32.5,0.0,0.0,228,70.0,36.1,UNK,2
BardRa00,Ramses Barden,WR,17.0,118.0,0.0,4.26,4.51,33.5,85.0,3.0,229,78.0,2.6,UNK,5
BarkMa00,Matt Barkley,QB,0.0,0.0,0.0,0.0,4.91,0.0,98.0,4.0,227,74.0,7.800000000000001,UNK,1
BarlKe00,Kevan Barlow,RB,0.0,0.0,0.0,0.0,4.56,0.0,80.0,3.0,235,73.0,127.9,UNK,2
BarnGa01,Gary Barnidge,TE,22.0,117.0,6.92,4.23,4.61,31.0,141.0,5.0,243,78.0,0.0,UNK,3
BarnKe00,Kenjon Barner,RB,20.0,122.0,6.87,4.2,4.52,35.5,182.0,6.0,196,69.0,3.4,UNK,2
BasaBr00,Brett Basanez,QB,0.0,114.0,6.75,4.22,4.76,34.0,0.0,0.0,220,73.0,1.4400000000000004,UNK,1
BaskHa00,Hank Baskett,WR,0.0,119.0,6.79,4.17,4.5,35.0,0.0,0.0,224,75.0,85.4,UNK,5
BattAr00,Arnaz Battle,WR,0.0,117.0,6.74,4.06,4.58,35.0,197.0,6.0,217,73.0,1.4,UNK,5
BechAn00,Anthony Becht,TE,0.0,123.0,6.94,4.08,4.78,33.5,27.0,1.0,270,78.0,42.4,UNK,3
BeckJo00,John Beck,QB,0.0,111.0,6.81,4.17,4.75,29.5,40.0,2.0,215,74.0,30.560000000000002,UNK,1
BeckTr00,Travis Beckum,TE,28.0,0.0,0.0,0.0,4.61,0.0,100.0,3.0,243,75.0,13.5,UNK,3
BellBl00,Blake Bell,TE,14.0,116.0,6.85,4.32,4.8,33.0,117.0,4.0,252,78.0,33.599999999999994,UNK,3
