item_text,bottom,column,price,description
Shellfish,24.837760000000024,0,,
Shellfish Platter*,38.27776000000008,0,109.95,"tiger prawns, king crab, oysters, clams, lobster, seasonal shellfish served with: champagne mignonette, citrus soy sauce, cocktail sauce"
Half Maine Lobster,111.46864000000006,0,38.95,
Half lb. Alaskan King Crab,128.03775999999996,0,71.95,
Shrimp Cocktail,144.35776000000013,0,32.95,"cucumber gelée, horseradish cocktail sauce, fresno chile"
Half Dozen Oysters*,187.79247999999998,0,27.95,east and west coast selection from the chef
Caviar,226.43440000000012,0,,
Osetra*,239.8777600000001,0,150.95,"red onion, egg, chive, crème fraîche, blini"
Soup/Salads,275.63152000000014,0,,
British Style Onion Soup,289.31776,0,17.95,"caramelized onion broth, gruyere, welsh rarebit"
Caesar Salad*,319.07392000000004,0,19.95,"crisp romaine hearts, parmesan cheese, garlic croutons, scotch quail egg*"
Farmer’s Market Salad,365.39536000000004,0,19.95,"confit golden beets, champagne infused strawberries, whipped herb goat cheese, strawberry rhubarb compote, spiced marcona almonds, crispy papadam, micro basil"
Appetizers,439.06239999999997,0,,
Hamachi Crudo*,450.35776,0,24.95,"pineapple relish, pickled mushrooms, miso vinaigrette, puffed rice, lime aioli"
Smoked Beef Tartare*,493.79247999999995,0,27.95,"truffle egg emulsion, coriander vinaigrette, manchego, yukon gold potato chips"
American Wagyu Sliders*,537.23248,0,23.95,"cracked pepper brioche, shallots, truffle cheese sauce, arugula (extra slider $10)"
Hudson Valley Foie Gras*,580.43056,0,29.95,"caramelized orange brioche, smoked granola, grand marnier reduction"
Diver Scallops & English Pea Risotto*,623.87248,0,54.95,"Pea shoots, house cured bacon, pork hock veloute, tomato dolce"
Pork Belly,667.3124799999999,0,21.95,"piquillo puree, creamy polenta, jingle bell pepper jardiniere, shallot marmalade, smoked butter pork jus"
Sauces,729.9448,0,7.95,
Japanese A5,24.837760000000024,1,,
Triple Seared Japanese A5*,38.27776000000008,1,,
American Wagyu,70.43776000000004,1,,beef marbling score of 9 or higher
8oz American Wagyu Skirt*,96.83392000000005,1,59.95,
8oz American Wagyu Rib Cap*,111.47776000000012,1,95.95,
8oz American Wagyu Filet*,126.11776,1,95.95,
Prime Beef,146.76159999999996,1,,dry aged for a minimum of 28 days
10oz Filet*,173.15392,1,89.95,
18oz Bone-in New York*,187.79776000000007,1,94.95,
24oz Bone-in Rib Eye*,202.43776000000005,1,109.95,
34oz Porterhouse*,217.07776000000004,1,149.95,
38oz Tomahawk*,231.71776000000003,1,159.95,
Signature,252.36159999999995,1,,
Roasted Beef Wellington*,263.8777600000001,1,69.95,"served medium rare & garnished with glazed root vegetables, potato purée, red wine demi-glace"
Jidori Chicken Breast,302.04064000000005,1,43.95,"confit marble potatoes, thigh meat croquette, braised baby leeks, chicken jus beurre monte"
Chops,345.9663999999999,1,,
Rack of Lamb*,357.71776,1,74.95,"manchego polenta cakes, trumpet mushrooms, confit garlic & baby fennel, minted pea puree"
Veal Chop16oz Milk Fed *,395.88063999999997,1,74.95,"guinness pickled mustard seeds, red wine demi-glace"
Fish,428.04303999999996,1,,
Pacific Salmon*,439.79776,1,45.95,
Roasted Branzino,454.43775999999997,1,52.95,
Steak Accompaniments,476.75776,1,,
Pan Seared Foie Gras*,488.51776,1,22.95,
Butter Poached Lobster Tail*,503.15775999999994,1,38.95,
Alaskan King Crab Legs,517.7977599999999,1,71.95,
Sides,538.19776,1,16.95,
Potato Purée,549.95776,1,,"yukon gold potato, crème fraiche"
Mushrooms,576.35728,1,,
Blistered Shishito Peppers,614.52016,1,,"smoked salt, pickled jingle bell peppers, romesco"
Mac & Cheese,640.91968,1,,"crispy pork belly, smoked jalapeno cream, onion jam, smoked gouda, white cheddar"
French Fries,679.0825600000001,1,,"truffle salt, whole grain mustard aioli"
Broccolini,705.48208,1,,
Grilled Asparagus,743.40304,1,,
