position,name,club_team,group,international_team
Goalkeeper,Matěj Kovář,PSV Eindhoven,A,Czech Republic
Defender,David Zima,Slavia Prague,A,Czech Republic
Defender,Tomáš Holeš,Slavia Prague,A,Czech Republic
Defender,Robin Hranáč,TSG Hoffenheim,A,Czech Republic
Defender,Vladimír Coufal,TSG Hoffenheim,A,Czech Republic
Defender,Štěpán Chaloupek,Slavia Prague,A,Czech Republic
Defender,Ladislav Krejčí,Wolverhampton Wanderers,A,Czech Republic
Midfielder,Vladimír Darida,Hradec Králové,A,Czech Republic
Forward,Adam Hložek,TSG Hoffenheim,A,Czech Republic
Forward,Patrik Schick,Bayer Leverkusen,A,Czech Republic
Forward,Jan Kuchta,Sparta Prague,A,Czech Republic
Midfielder,Lukáš Červ,Viktoria Plzeň,A,Czech Republic
Forward,Mojmír Chytil,Slavia Prague,A,Czech Republic
Defender,David Jurásek,Slavia Prague,A,Czech Republic
Forward,Pavel Šulc,Lyon,A,Czech Republic
Goalkeeper,Jindřich Staněk,Slavia Prague,A,Czech Republic
Midfielder,Lukáš Provod,Slavia Prague,A,Czech Republic
Midfielder,Michal Sadílek,Slavia Prague,A,Czech Republic
Forward,Tomáš Chorý,Slavia Prague,A,Czech Republic
Defender,Jaroslav Zelený,Sparta Prague,A,Czech Republic
Defender,David Douděra,Slavia Prague,A,Czech Republic
Midfielder,Tomáš Souček,West Ham United,A,Czech Republic
Goalkeeper,Lukáš Horníček,Braga,A,Czech Republic
Midfielder,Alexandr Sojka,Viktoria Plzeň,A,Czech Republic
Midfielder,Hugo Sochůrek,Sparta Prague,A,Czech Republic
Forward,Denis Višinský,Viktoria Plzeň,A,Czech Republic
Goalkeeper,Raúl Rangel,Guadalajara,A,Mexico
Defender,Jorge Sánchez,PAOK,A,Mexico
Defender,César Montes,Lokomotiv Moscow,A,Mexico
Defender,Edson Álvarez,Fenerbahçe,A,Mexico
Defender,Johan Vásquez,Genoa,A,Mexico
Midfielder,Érik Lira,Cruz Azul,A,Mexico
Midfielder,Luis Romo,Guadalajara,A,Mexico
Midfielder,Álvaro Fidalgo,Real Betis,A,Mexico
Forward,Raúl Jiménez,Fulham,A,Mexico
Forward,Alexis Vega,Toluca,A,Mexico
Forward,Santiago Giménez,Milan,A,Mexico
Goalkeeper,Carlos Acevedo,Santos Laguna,A,Mexico
Goalkeeper,Guillermo Ochoa,AEL Limassol,A,Mexico
Forward,Armando González,Guadalajara,A,Mexico
Defender,Israel Reyes,América,A,Mexico
Forward,Julián Quiñones,Al-Qadsiah,A,Mexico
Midfielder,Orbelín Pineda,AEK Athens,A,Mexico
Midfielder,Obed Vargas,Atlético Madrid,A,Mexico
Midfielder,Gilberto Mora,Tijuana,A,Mexico
Defender,Mateo Chávez,AZ,A,Mexico
Forward,César Huerta,Anderlecht,A,Mexico
Forward,Guillermo Martínez,Pumas UNAM,A,Mexico
Defender,Jesús Gallardo,Toluca,A,Mexico
Midfielder,Luis Chávez,Dynamo Moscow,A,Mexico
Forward,Roberto Alvarado,Guadalajara,A,Mexico
Midfielder,Brian Gutiérrez,Guadalajara,A,Mexico
Goalkeeper,Ronwen Williams,Mamelodi Sundowns,A,South Africa
Defender,Thabang Matuludi,Polokwane City,A,South Africa
Defender,Khulumani Ndamane,Mamelodi Sundowns,A,South Africa
Midfielder,Teboho Mokoena,Mamelodi Sundowns,A,South Africa
Midfielder,Thalente Mbatha,Orlando Pirates,A,South Africa
Defender,Aubrey Modiba,Mamelodi Sundowns,A,South Africa
Forward,Oswin Appollis,Orlando Pirates,A,South Africa
Forward,Tshepang Moremi,Orlando Pirates,A,South Africa
Forward,Lyle Foster,Burnley,A,South Africa
Forward,Relebohile Mofokeng,Orlando Pirates,A,South Africa
